"Sample","Total_Reads_total","Total_Reads_spiked","Percentage","Result"
"spiked.blank.20529_S180",51718,51352,99.2923160215012,"failed"
"spiked.blank.20913_S180",50275,48471,96.4117354549975,"failed"
"Std2uL.20721_S180",67133,66229,98.6534193317742,"failed"
"StdSwab1uL.20720_S168",59671,53977,90.4576762581489,"failed"
"STP1719.20518_S143",22419,18165,81.0250234176368,"failed"
"STP213.20519_S155",17719,2547,14.3744003611942,"passed"
"STP268.20520_S167",10045,1332,13.2603285216526,"passed"
"STP544.20515_S107",33260,28061,84.368610944077,"failed"
"STP570.20516_S119",38231,13722,35.8923386780362,"failed"
"STP579.20517_S131",37106,30845,83.1267180509891,"failed"
"STP614.20514_S190",16245,1061,6.53124038165589,"passed"
"UHM1000.20700_S118",391,235,60.1023017902813,"failed"
"UHM1001.20705_S178",12731,3323,26.1016416620847,"passed"
"UHM1007.20718_S144",769,572,74.3823146944083,"failed"
"UHM1009.20710_S143",8749,1081,12.3556977940336,"passed"
"UHM1010.20717_S132",16306,6023,36.9373236845333,"failed"
"UHM1011.20702_S142",27755,6356,22.9003783102144,"passed"
"UHM1024.20716_S120",22700,12919,56.9118942731277,"failed"
"UHM1026.20703_S154",19715,4976,25.2396652295207,"passed"
"UHM1028.20709_S131",3053,1052,34.4579102522109,"passed"
"UHM1032.20701_S130",17313,6061,35.0083752093802,"failed"
"UHM1033.20715_S108",4714,3809,80.8018667798048,"failed"
"UHM1034.20712_S167",310,20,6.45161290322581,"passed"
"UHM1035.20707_S107",13245,4183,31.5817289543224,"passed"
"UHM1036.20708_S119",25460,1245,4.89002356637863,"passed"
"UHM1052.20711_S155",5843,4403,75.3551257915454,"failed"
"UHM1060.20819_S97",44879,25949,57.8199157735244,"failed"
"UHM1065.20820_S109",25751,15547,60.3743543940041,"failed"
"UHM1068.20828_S110",10520,3023,28.7357414448669,"passed"
"UHM1069.20838_S135",12098,3470,28.6824268474128,"passed"
"UHM1070.20821_S121",18432,11857,64.3283420138889,"failed"
"UHM1071.20829_S122",5538,2214,39.9783315276273,"failed"
"UHM1072.20830_S134",14356,7615,53.0440234048481,"failed"
"UHM1073.20831_S146",6135,199,3.24368378158109,"passed"
"UHM1075.20822_S133",6019,2617,43.478983219804,"failed"
"UHM1077.20832_S158",21039,14784,70.2694995009268,"failed"
"UHM1078.20823_S145",2049,611,29.8194241093216,"passed"
"UHM1080.20833_S170",3109,767,24.6703119974268,"passed"
"UHM1081.20824_S157",62562,1355,2.16585147533647,"passed"
"UHM1088.20834_S182",3292,1593,48.3900364520049,"failed"
"UHM1090.20835_S99",9520,4005,42.0693277310924,"failed"
"UHM1093.20825_S169",11498,1617,14.0633153591929,"passed"
"UHM1095.20826_S181",18880,3662,19.396186440678,"passed"
"UHM1097.20719_S156",22503,13497,59.9786695107319,"failed"
"UHM1099.20704_S166",30374,10494,34.5492855731876,"passed"
"UHM1100.20884_S117",16278,59,0.362452389728468,"passed"
"UHM1102.20885_S129",26202,276,1.05335470574765,"passed"
"UHM1104.20886_S141",7375,433,5.87118644067797,"passed"
"UHM1105.20887_S153",18683,548,2.93314778140556,"passed"
"UHM1109.20627_S97",4781,4081,85.3587115666179,"failed"
"UHM1110.20664_S161",12842,26,0.20246067590718,"passed"
"UHM1113.20888_S165",7757,1479,19.0666494778909,"passed"
"UHM1114.20889_S177",11158,1193,10.6918802652805,"passed"
"UHM1115.20890_S189",3088,108,3.49740932642487,"passed"
"UHM1117.20891_S106",17179,129,0.750916817044065,"passed"
"UHM1118.20892_S118",6002,529,8.81372875708097,"passed"
"UHM1120.20893_S130",4240,423,9.97641509433962,"passed"
"UHM1124.20894_S142",8432,397,4.70825426944972,"passed"
"UHM1126.20895_S154",9855,370,3.75443937087773,"passed"
"UHM1128.20896_S166",565,76,13.4513274336283,"passed"
"UHM1140.20651_S100",10161,644,6.3379588623167,"passed"
"UHM1145.20897_S178",1220,335,27.4590163934426,"passed"
"UHM1163.20501_S129",13780,1187,8.61393323657475,"passed"
"UHM1164.20498_S188",28086,9249,32.9309976500748,"passed"
"UHM1169.20648_S159",18673,14826,79.3980613720345,"failed"
"UHM1171.20675_S103",10300,60,0.58252427184466,"passed"
"UHM1176.20500_S117",9137,576,6.30403852467987,"passed"
"UHM1177.20642_S182",47505,25773,54.2532365014209,"failed"
"UHM1182.20672_S162",9442,637,6.74645202287651,"passed"
"UHM1210.20898_S190",11318,201,1.77593214348825,"passed"
"UHM1212.20899_S107",7319,604,8.25249351004235,"passed"
"UHM1217.20900_S119",16705,1098,6.57288237054774,"passed"
"UHM1218.20901_S131",13662,557,4.07700190308886,"passed"
"UHM1219.20902_S143",5167,70,1.35475130636733,"passed"
"UHM1220.20903_S155",17459,200,1.14554098172862,"passed"
"UHM1221.20904_S167",11505,382,3.32029552368535,"passed"
"UHM1222.20905_S179",17832,7140,40.0403768506057,"failed"
"UHM1223.20906_S191",13909,158,1.13595513696168,"passed"
"UHM1225.20907_S108",20221,324,1.60229464418179,"passed"
"UHM1227.20908_S120",12999,597,4.59266097392107,"passed"
"UHM1228.20909_S132",7485,114,1.52304609218437,"passed"
"UHM1237.20910_S144",14094,591,4.19327373350362,"passed"
"UHM1240.20662_S137",16393,6573,40.0963826023303,"failed"
"UHM1246.20911_S156",15069,1382,9.17114606145066,"passed"
"UHM1247.20912_S168",21026,639,3.03909445448492,"passed"
"UHM1248.20671_S150",37309,29089,77.9677825725696,"failed"
"UHM1256.20666_S185",66391,11510,17.3366872015785,"passed"
"UHM1260.20692_S117",23538,950,4.03602685019968,"passed"
"UHM1270.20673_S174",19337,8339,43.1245798210684,"failed"
"UHM1271.20493_S128",5920,1362,23.0067567567568,"passed"
"UHM1272.20494_S140",6703,2685,40.0566910338654,"failed"
"UHM1274.20650_S183",21299,2866,13.4560307995681,"passed"
"UHM1275.20693_S129",19451,575,2.95614621356228,"passed"
"UHM1282.20695_S153",28919,682,2.35831114492202,"passed"
"UHM1287.20639_S146",20320,3538,17.4114173228346,"passed"
"UHM1291.20512_S166",9676,2529,26.1368334022323,"passed"
"UHM1296.20646_S135",8993,64,0.711664628044034,"passed"
"UHM1319.20657_S172",17209,462,2.68464175722006,"passed"
"UHM1324.20509_S130",2807,1972,70.2529390808693,"failed"
"UHM1327.20641_S170",547,61,11.1517367458867,"passed"
"UHM1328.20668_S114",37052,34575,93.3148008204685,"failed"
"UHM1334.20513_S178",20287,792,3.90397791689259,"passed"
"UHM1338.20495_S152",17349,6988,40.2789786154822,"failed"
"UHM1341.20698_S189",53698,51544,95.9886774181534,"failed"
"UHM1356.20637_S122",40266,36158,89.7978443351711,"failed"
"UHM1380.20676_S115",16738,256,1.529453937149,"passed"
"UHM1383.20690_S188",19728,495,2.50912408759124,"passed"
"UHM1385.20659_S101",21972,15137,68.8922264700528,"failed"
"UHM1399.20852_S113",13536,3578,26.4332151300236,"passed"
"UHM1400.20853_S125",20301,8088,39.8404019506428,"failed"
"UHM1401.20854_S137",25719,8593,33.4110968544656,"passed"
"UHM1402.20855_S149",0,0,NA,NA
"UHM1403.20856_S161",19594,4762,24.3033581708686,"passed"
"UHM1405.20857_S173",19786,1215,6.14070554937835,"passed"
"UHM1406.20858_S185",31418,12159,38.7007447959768,"failed"
"UHM1414.20859_S102",20451,509,2.48887584959171,"passed"
"UHM1419.20860_S114",5955,2295,38.5390428211587,"failed"
"UHM1427.20485_S127",2373,1365,57.5221238938053,"failed"
"UHM1428.20486_S139",6884,33,0.479372457873329,"passed"
"UHM1429.20487_S151",532,53,9.96240601503759,"passed"
"UHM1430.20488_S163",13304,129,0.969633193024654,"passed"
"UHM1432.20489_S175",15372,162,1.05386416861827,"passed"
"UHM1435.20484_S115",1654,484,29.2623941958888,"passed"
"UHM162.20656_S160",17746,1525,8.59348585596754,"passed"
"UHM198.20681_S175",6728,1855,27.5713436385256,"passed"
"UHM200.20670_S138",6675,571,8.55430711610487,"passed"
"UHM203.20685_S128",8791,1206,13.7185758161756,"passed"
"UHM204.20505_S177",5982,2659,44.4500167168171,"failed"
"UHM206.20506_S189",23947,13696,57.1929678039003,"failed"
"UHM207.20689_S176",26009,811,3.11815140912761,"passed"
"UHM208.20507_S106",3891,883,22.6933950141352,"passed"
"UHM211.20502_S141",17323,11292,65.1850141430468,"failed"
"UHM215.20504_S165",9697,3355,34.5983293802207,"passed"
"UHM216.20525_S132",23655,16319,68.9875290636229,"failed"
"UHM219.20526_S144",49178,48760,99.1500264345846,"failed"
"UHM236.20527_S156",20580,20280,98.5422740524781,"failed"
"UHM238.20503_S153",8866,7100,80.0812091134672,"failed"
"UHM245.20634_S181",3969,1961,49.4079113126732,"failed"
"UHM252.20654_S136",6890,853,12.3802612481858,"passed"
"UHM267.20496_S164",25044,1531,6.11324069637438,"passed"
"UHM274.20677_S127",12791,1865,14.5805644593855,"passed"
"UHM276.20682_S187",9885,2550,25.7966616084977,"passed"
"UHM280.20497_S176",21358,4551,21.3081749227456,"passed"
"UHM286.20521_S179",2213,1144,51.6945323090827,"failed"
"UHM289.20522_S191",13228,2934,22.1802237677653,"passed"
"UHM294.20523_S108",4652,1794,38.5640584694755,"failed"
"UHM298.20696_S165",7113,146,2.05257978349501,"passed"
