"","Sample","Total_Reads"
"spiked.blank.20529_S180","spiked.blank.20529_S180",51718
"spiked.blank.20913_S180","spiked.blank.20913_S180",50275
"Std2uL.20721_S180","Std2uL.20721_S180",67133
"StdSwab1uL.20720_S168","StdSwab1uL.20720_S168",59671
"STP1719.20518_S143","STP1719.20518_S143",22419
"STP213.20519_S155","STP213.20519_S155",17719
"STP268.20520_S167","STP268.20520_S167",10045
"STP544.20515_S107","STP544.20515_S107",33260
"STP570.20516_S119","STP570.20516_S119",38231
"STP579.20517_S131","STP579.20517_S131",37106
"STP614.20514_S190","STP614.20514_S190",16245
"UHM1000.20700_S118","UHM1000.20700_S118",391
"UHM1001.20705_S178","UHM1001.20705_S178",12731
"UHM1007.20718_S144","UHM1007.20718_S144",769
"UHM1009.20710_S143","UHM1009.20710_S143",8749
"UHM1010.20717_S132","UHM1010.20717_S132",16306
"UHM1011.20702_S142","UHM1011.20702_S142",27755
"UHM1024.20716_S120","UHM1024.20716_S120",22700
"UHM1026.20703_S154","UHM1026.20703_S154",19715
"UHM1028.20709_S131","UHM1028.20709_S131",3053
"UHM1032.20701_S130","UHM1032.20701_S130",17313
"UHM1033.20715_S108","UHM1033.20715_S108",4714
"UHM1034.20712_S167","UHM1034.20712_S167",310
"UHM1035.20707_S107","UHM1035.20707_S107",13245
"UHM1036.20708_S119","UHM1036.20708_S119",25460
"UHM1052.20711_S155","UHM1052.20711_S155",5843
"UHM1060.20819_S97","UHM1060.20819_S97",44879
"UHM1065.20820_S109","UHM1065.20820_S109",25751
"UHM1068.20828_S110","UHM1068.20828_S110",10520
"UHM1069.20838_S135","UHM1069.20838_S135",12098
"UHM1070.20821_S121","UHM1070.20821_S121",18432
"UHM1071.20829_S122","UHM1071.20829_S122",5538
"UHM1072.20830_S134","UHM1072.20830_S134",14356
"UHM1073.20831_S146","UHM1073.20831_S146",6135
"UHM1075.20822_S133","UHM1075.20822_S133",6019
"UHM1077.20832_S158","UHM1077.20832_S158",21039
"UHM1078.20823_S145","UHM1078.20823_S145",2049
"UHM1080.20833_S170","UHM1080.20833_S170",3109
