"","Sample","Total_Reads"
"spiked.blank.20529_S180","spiked.blank.20529_S180",51352
"spiked.blank.20913_S180","spiked.blank.20913_S180",48471
"Std2uL.20721_S180","Std2uL.20721_S180",66229
"StdSwab1uL.20720_S168","StdSwab1uL.20720_S168",53977
"STP1719.20518_S143","STP1719.20518_S143",18165
"STP213.20519_S155","STP213.20519_S155",2547
"STP268.20520_S167","STP268.20520_S167",1332
"STP544.20515_S107","STP544.20515_S107",28061
"STP570.20516_S119","STP570.20516_S119",13722
"STP579.20517_S131","STP579.20517_S131",30845
"STP614.20514_S190","STP614.20514_S190",1061
"UHM1000.20700_S118","UHM1000.20700_S118",235
"UHM1001.20705_S178","UHM1001.20705_S178",3323
"UHM1007.20718_S144","UHM1007.20718_S144",572
"UHM1009.20710_S143","UHM1009.20710_S143",1081
"UHM1010.20717_S132","UHM1010.20717_S132",6023
"UHM1011.20702_S142","UHM1011.20702_S142",6356
"UHM1024.20716_S120","UHM1024.20716_S120",12919
"UHM1026.20703_S154","UHM1026.20703_S154",4976
"UHM1028.20709_S131","UHM1028.20709_S131",1052
"UHM1032.20701_S130","UHM1032.20701_S130",6061
"UHM1033.20715_S108","UHM1033.20715_S108",3809
"UHM1034.20712_S167","UHM1034.20712_S167",20
"UHM1035.20707_S107","UHM1035.20707_S107",4183
"UHM1036.20708_S119","UHM1036.20708_S119",1245
"UHM1052.20711_S155","UHM1052.20711_S155",4403
"UHM1060.20819_S97","UHM1060.20819_S97",25949
"UHM1065.20820_S109","UHM1065.20820_S109",15547
"UHM1068.20828_S110","UHM1068.20828_S110",3023
"UHM1069.20838_S135","UHM1069.20838_S135",3470
"UHM1070.20821_S121","UHM1070.20821_S121",11857
"UHM1071.20829_S122","UHM1071.20829_S122",2214
"UHM1072.20830_S134","UHM1072.20830_S134",7615
"UHM1073.20831_S146","UHM1073.20831_S146",199
"UHM1075.20822_S133","UHM1075.20822_S133",2617
"UHM1077.20832_S158","UHM1077.20832_S158",14784
"UHM1078.20823_S145","UHM1078.20823_S145",611
"UHM1080.20833_S170","UHM1080.20833_S170",767
"UHM1081.20824_S157","UHM1081.20824_S157",1355
"UHM1088.20834_S182","UHM1088.20834_S182",1593
"UHM1090.20835_S99","UHM1090.20835_S99",4005
"UHM1093.20825_S169","UHM1093.20825_S169",1617
"UHM1095.20826_S181","UHM1095.20826_S181",3662
"UHM1097.20719_S156","UHM1097.20719_S156",13497
"UHM1099.20704_S166","UHM1099.20704_S166",10494
"UHM1100.20884_S117","UHM1100.20884_S117",59
"UHM1102.20885_S129","UHM1102.20885_S129",276
"UHM1104.20886_S141","UHM1104.20886_S141",433
"UHM1105.20887_S153","UHM1105.20887_S153",548
"UHM1109.20627_S97","UHM1109.20627_S97",4081
"UHM1110.20664_S161","UHM1110.20664_S161",26
"UHM1113.20888_S165","UHM1113.20888_S165",1479
"UHM1114.20889_S177","UHM1114.20889_S177",1193
"UHM1115.20890_S189","UHM1115.20890_S189",108
"UHM1117.20891_S106","UHM1117.20891_S106",129
"UHM1118.20892_S118","UHM1118.20892_S118",529
"UHM1120.20893_S130","UHM1120.20893_S130",423
"UHM1124.20894_S142","UHM1124.20894_S142",397
"UHM1126.20895_S154","UHM1126.20895_S154",370
"UHM1128.20896_S166","UHM1128.20896_S166",76
"UHM1140.20651_S100","UHM1140.20651_S100",644
"UHM1145.20897_S178","UHM1145.20897_S178",335
"UHM1163.20501_S129","UHM1163.20501_S129",1187
"UHM1164.20498_S188","UHM1164.20498_S188",9249
"UHM1169.20648_S159","UHM1169.20648_S159",14826
"UHM1171.20675_S103","UHM1171.20675_S103",60
"UHM1176.20500_S117","UHM1176.20500_S117",576
"UHM1177.20642_S182","UHM1177.20642_S182",25773
"UHM1182.20672_S162","UHM1182.20672_S162",637
"UHM1210.20898_S190","UHM1210.20898_S190",201
"UHM1212.20899_S107","UHM1212.20899_S107",604
"UHM1217.20900_S119","UHM1217.20900_S119",1098
"UHM1218.20901_S131","UHM1218.20901_S131",557
"UHM1219.20902_S143","UHM1219.20902_S143",70
"UHM1220.20903_S155","UHM1220.20903_S155",200
"UHM1221.20904_S167","UHM1221.20904_S167",382
"UHM1222.20905_S179","UHM1222.20905_S179",7140
"UHM1223.20906_S191","UHM1223.20906_S191",158
"UHM1225.20907_S108","UHM1225.20907_S108",324
"UHM1227.20908_S120","UHM1227.20908_S120",597
"UHM1228.20909_S132","UHM1228.20909_S132",114
"UHM1237.20910_S144","UHM1237.20910_S144",591
"UHM1240.20662_S137","UHM1240.20662_S137",6573
"UHM1246.20911_S156","UHM1246.20911_S156",1382
"UHM1247.20912_S168","UHM1247.20912_S168",639
"UHM1248.20671_S150","UHM1248.20671_S150",29089
"UHM1256.20666_S185","UHM1256.20666_S185",11510
"UHM1260.20692_S117","UHM1260.20692_S117",950
"UHM1270.20673_S174","UHM1270.20673_S174",8339
"UHM1271.20493_S128","UHM1271.20493_S128",1362
"UHM1272.20494_S140","UHM1272.20494_S140",2685
"UHM1274.20650_S183","UHM1274.20650_S183",2866
"UHM1275.20693_S129","UHM1275.20693_S129",575
"UHM1282.20695_S153","UHM1282.20695_S153",682
"UHM1287.20639_S146","UHM1287.20639_S146",3538
"UHM1291.20512_S166","UHM1291.20512_S166",2529
"UHM1296.20646_S135","UHM1296.20646_S135",64
"UHM1319.20657_S172","UHM1319.20657_S172",462
"UHM1324.20509_S130","UHM1324.20509_S130",1972
"UHM1327.20641_S170","UHM1327.20641_S170",61
"UHM1328.20668_S114","UHM1328.20668_S114",34575
"UHM1334.20513_S178","UHM1334.20513_S178",792
"UHM1338.20495_S152","UHM1338.20495_S152",6988
"UHM1341.20698_S189","UHM1341.20698_S189",51544
"UHM1356.20637_S122","UHM1356.20637_S122",36158
"UHM1380.20676_S115","UHM1380.20676_S115",256
"UHM1383.20690_S188","UHM1383.20690_S188",495
"UHM1385.20659_S101","UHM1385.20659_S101",15137
"UHM1399.20852_S113","UHM1399.20852_S113",3578
"UHM1400.20853_S125","UHM1400.20853_S125",8088
"UHM1401.20854_S137","UHM1401.20854_S137",8593
"UHM1402.20855_S149","UHM1402.20855_S149",0
"UHM1403.20856_S161","UHM1403.20856_S161",4762
"UHM1405.20857_S173","UHM1405.20857_S173",1215
"UHM1406.20858_S185","UHM1406.20858_S185",12159
"UHM1414.20859_S102","UHM1414.20859_S102",509
"UHM1419.20860_S114","UHM1419.20860_S114",2295
